iata_code,icao_code,name,city,country,latitude,longitude
YGJ,RJOH,"Yonago Kitaro Airport / JASDF Miho Air Base",Yonago,JP,35.492199,133.235992
IWK,RJOI,"Iwakuni Kintaikyo Airport / Marine Corps Air Station Iwakuni",Iwakuni,JP,34.146333,132.247238
KCZ,RJOK,"Kochi Ryoma Airport",Nankoku,JP,33.546101,133.669006
MYJ,RJOM,"Matsuyama Airport",Matsuyama,JP,33.827201843262,132.69999694824
ITM,RJOO,"Osaka International Airport",Osaka,JP,34.7855,135.438004
TTJ,RJOR,"Tottori Sand Dunes Conan Airport",Tottori,JP,35.530102,134.167007
TKS,RJOS,"Tokushima Awaodori Airport / JMSDF Tokushima Air Base",Tokushima,JP,34.132801,134.606995
TAK,RJOT,"Takamatsu Airport",Takamatsu,JP,34.2141990662,134.01600647
IWJ,RJOW,"Iwami Airport",Masuda,JP,34.676399231,131.789993286
AOJ,RJSA,"Aomori Airport",Aomori,JP,40.734699249268,140.6909942627
GAJ,RJSC,"Yamagata Airport",Higashine,JP,38.4119,140.371002
SDS,RJSD,"Sado Airport",Sado,JP,38.0601997375,138.414001465
FKS,RJSF,"Fukushima Airport",Sukagawa,JP,37.227401733398,140.43099975586
HHE,RJSH,"JMSDF Hachinohe Air Base / Hachinohe Airport",Hachinohe,JP,40.551181,141.465428
HNA,RJSI,"Iwate Hanamaki Airport",Hanamaki,JP,39.4286,141.134995
AXT,RJSK,"Akita Airport",Akita,JP,39.615601,140.218994
MSJ,RJSM,"Misawa Airport / Misawa Air Base",Misawa,JP,40.703201,141.367996
KIJ,RJSN,"Niigata Airport",Niigata,JP,37.9558982849,139.121002197
ONJ,RJSR,"Odate Noshiro Airport",Kitaakita,JP,40.191898,140.371002
SDJ,RJSS,"Sendai Airport",Natori,JP,38.139702,140.917007
SYO,RJSY,"Shonai Airport",Shonai,JP,38.812199,139.787003
NJA,RJTA,"JMSDF Atsugi Air Base / Naval Air Facility Atsugi","Ayase / Yamato",JP,35.454601,139.449997
HAC,RJTH,"Hachijojima Airport",Hachijojima,JP,33.115002,139.785995
OIM,RJTO,"Oshima Airport","Izu Oshima",JP,34.7820014954,139.36000061
MYE,RJTQ,"Miyakejima Airport",Miyakejima,JP,34.073600769,139.559997559
HND,RJTT,"Tokyo Haneda International Airport",Tokyo,JP,35.552299,139.779999
OKO,RJTY,"Yokota Air Base",Fussa,JP,35.748501,139.348007
MWX,RKJB,"Muan International Airport","Muan (Piseo-ri)",KR,34.991406,126.382814
